batch_size,block_len,budget,clean_tokens,compute_accounting,d_ff,d_model,decay_fraction,device,duration_seconds,effective_compute_parameters,effective_train_epochs,gpu,head_dim,learning_rate,n_head,n_layer,n_params,realized_flops,result_path,seed,sequence_length,size,stable_fraction,status,steps,tokens_per_second,train_dataset_tokens,train_loss,training_flops_per_clean_token,val_masked_ce_t0.5,val_nelbo,warmup_fraction,weight_decay
64,4,100000000000000.0,79380480,dense_dual_stream_attention_v1,48,16,0.15,cuda,104.89890921581537,104968.0,0.049420193229209625,NVIDIA H100 80GB HBM3,16,0.0081,1,2,137824,99988922695680,/root/shakespeare-dLM/scale_to_climbmix/results/runs/1e14/0.14M/lr_8.1e-03/result.json,1337,256,0.14M,0.7999999999999999,complete,4845,756733.1309106882,1606235727,5.869274139404297,1259616,5.9160251915454865,5.911935731768608,0.05,0.1
64,4,100000000000000.0,37584896,dense_dual_stream_attention_v1,88,32,0.15,cuda,53.573493890464306,221712.0,0.0233993649675556,NVIDIA H100 80GB HBM3,16,0.0081,2,2,287424,99996269543424,/root/shakespeare-dLM/scale_to_climbmix/results/runs/1e14/0.29M/lr_8.1e-03/result.json,1337,256,0.29M,0.7999999999999999,complete,2294,701557.6784453448,1606235727,5.760972023010254,2660544,5.709313705563545,5.707471534609795,0.05,0.1
64,4,100000000000000.0,16531456,dense_dual_stream_attention_v1,128,48,0.15,cuda,35.49515771213919,503832.0,0.01029204849706347,NVIDIA H100 80GB HBM3,16,0.0027,3,4,504288,99948918472704,/root/shakespeare-dLM/scale_to_climbmix/results/runs/1e14/0.5M/lr_2.7e-03/result.json,1337,256,0.5M,0.7999999999999999,complete,1009,465738.34476431453,1606235727,6.0675129890441895,6045984,6.086361601948738,6.1280723214149475,0.05,0.1
64,4,100000000000000.0,8617984,dense_dual_stream_attention_v1,216,80,0.15,cuda,23.815396240912378,965160.0,0.005365329543563315,NVIDIA H100 80GB HBM3,16,0.0027,5,4,965920,99812801249280,/root/shakespeare-dLM/scale_to_climbmix/results/runs/1e14/1M/lr_2.7e-03/result.json,1337,256,1M,0.7999999999999999,complete,526,361866.07658432313,1606235727,6.545864105224609,11581920,6.465687125921249,6.502268403768539,0.05,0.1
64,4,100000000000000.0,3571712,dense_dual_stream_attention_v1,304,112,0.15,cuda,18.119625207036734,2327864.0,0.00222365368915742,NVIDIA H100 80GB HBM3,16,0.0081,7,7,1985536,99773517398016,/root/shakespeare-dLM/scale_to_climbmix/results/runs/1e14/2M/lr_8.1e-03/result.json,1337,256,2M,0.7999999999999999,complete,218,197118.42597124635,1606235727,7.200868129730225,27934368,7.224940150976181,7.264919430017471,0.05,0.1
64,4,300000000000000.0,238157824,dense_dual_stream_attention_v1,48,16,0.15,cuda,313.7764238649979,104968.0,0.1482707799339094,NVIDIA H100 80GB HBM3,16,0.0081,1,2,137824,299987405635584,/root/shakespeare-dLM/scale_to_climbmix/results/runs/3e14/0.14M/lr_8.1e-03/result.json,1337,256,0.14M,0.7999999999999999,complete,14536,759004.8387525355,1606235727,5.616266250610352,1259616,5.817800149321556,5.816548451781273,0.05,0.1
64,4,300000000000000.0,112754688,dense_dual_stream_attention_v1,88,32,0.15,cuda,160.67700838763267,221712.0,0.0701980949026668,NVIDIA H100 80GB HBM3,16,0.0027,2,2,287424,299988808630272,/root/shakespeare-dLM/scale_to_climbmix/results/runs/3e14/0.29M/lr_2.7e-03/result.json,1337,256,0.29M,0.7999999999999999,complete,6882,701747.4941279697,1606235727,5.52063512802124,2660544,5.466662630438805,5.447025746107101,0.05,0.1
64,4,300000000000000.0,49610752,dense_dual_stream_attention_v1,128,48,0.15,cuda,106.60060207080096,503832.0,0.030886345737470948,NVIDIA H100 80GB HBM3,16,0.0027,3,4,504288,299945812819968,/root/shakespeare-dLM/scale_to_climbmix/results/runs/3e14/0.5M/lr_2.7e-03/result.json,1337,256,0.5M,0.7999999999999999,complete,3028,465389.04130250606,1606235727,5.500672817230225,6045984,5.460354745388031,5.459533363580704,0.05,0.1
64,4,300000000000000.0,25886720,dense_dual_stream_attention_v1,216,80,0.15,cuda,70.31109443865716,965160.0,0.016116389123251022,NVIDIA H100 80GB HBM3,16,0.0027,5,4,965920,299817920102400,/root/shakespeare-dLM/scale_to_climbmix/results/runs/3e14/1M/lr_2.7e-03/result.json,1337,256,1M,0.7999999999999999,complete,1580,368174.04431934765,1606235727,5.798727512359619,11581920,5.673915445804596,5.691389575600624,0.05,0.1
64,4,300000000000000.0,10731520,dense_dual_stream_attention_v1,304,112,0.15,cuda,52.24157362151891,2327864.0,0.006681161313752798,NVIDIA H100 80GB HBM3,16,0.0027,7,7,1985536,299778228879360,/root/shakespeare-dLM/scale_to_climbmix/results/runs/3e14/2M/lr_2.7e-03/result.json,1337,256,2M,0.7999999999999999,complete,655,205421.07092232694,1606235727,6.263180732727051,27934368,6.360098570585251,6.403638452291489,0.05,0.1
64,4,300000000000000.0,5046272,dense_dual_stream_attention_v1,384,144,0.15,cuda,46.52345963381231,4949064.0,0.003141675854405896,NVIDIA H100 80GB HBM3,16,0.0009,9,11,3920256,299691877072896,/root/shakespeare-dLM/scale_to_climbmix/results/runs/3e14/4M/lr_9.0e-04/result.json,1337,256,4M,0.7999999999999999,complete,308,108467.2558687461,1606235727,7.022563934326172,59388768,6.989075765013695,7.035653188824654,0.05,0.1
64,4,300000000000000.0,2572288,dense_dual_stream_attention_v1,560,208,0.15,cuda,34.613505827263,9677928.0,0.0016014386660445636,NVIDIA H100 80GB HBM3,16,0.0009,13,12,7979296,298733016711168,/root/shakespeare-dLM/scale_to_climbmix/results/runs/3e14/8M/lr_9.0e-04/result.json,1337,256,8M,0.7999999999999999,complete,157,74314.57572766182,1606235727,6.981808185577393,116135136,7.242315694689751,7.280458629131317,0.05,0.1
64,4,1000000000000000.0,375848960,dense_dual_stream_attention_v1,88,32,0.15,cuda,530.4741525892168,221712.0,0.233993649675556,NVIDIA H100 80GB HBM3,16,0.0027,2,2,287424,999962695434240,/root/shakespeare-dLM/scale_to_climbmix/results/runs/1e15/0.29M/lr_2.7e-03/result.json,1337,256,0.29M,0.7999999999999999,complete,22940,708515.1239989747,1606235727,5.59506893157959,2660544,5.386776998639107,5.372958660125732,0.05,0.1
64,4,1000000000000000.0,165396480,dense_dual_stream_attention_v1,128,48,0.15,cuda,348.6722253616899,503832.0,0.10297148620203739,NVIDIA H100 80GB HBM3,16,0.0081,3,4,504288,999984471736320,/root/shakespeare-dLM/scale_to_climbmix/results/runs/1e15/0.5M/lr_8.1e-03/result.json,1337,256,0.5M,0.7999999999999999,complete,10095,474360.9268803342,1606235727,5.157665252685547,6045984,5.110525161027908,5.109479144215584,0.05,0.1
64,4,1000000000000000.0,86327296,dense_dual_stream_attention_v1,216,80,0.15,cuda,231.18146086670458,965160.0,0.053745097652158,NVIDIA H100 80GB HBM3,16,0.0027,5,4,965920,999835836088320,/root/shakespeare-dLM/scale_to_climbmix/results/runs/1e15/1M/lr_2.7e-03/result.json,1337,256,1M,0.7999999999999999,complete,5269,373417.9015754853,1606235727,4.920238494873047,11581920,5.029317155480385,5.026593789458275,0.05,0.1
64,4,1000000000000000.0,35782656,dense_dual_stream_attention_v1,304,112,0.15,cuda,170.85183856077492,2327864.0,0.022277337876696352,NVIDIA H100 80GB HBM3,16,0.0027,7,7,1985536,999565880721408,/root/shakespeare-dLM/scale_to_climbmix/results/runs/1e15/2M/lr_2.7e-03/result.json,1337,256,2M,0.7999999999999999,complete,2184,209436.76287844862,1606235727,5.670012474060059,27934368,5.459114253520966,5.492489829659462,0.05,0.1
