accounted_h100_bf16_mfu,attention_backend,batch_size,budget,clean_tokens,compiled,compute_accounting,d_ff,d_model,decay_fraction,device,duration_seconds,effective_train_epochs,evaluation_duration_seconds,flash_causal_training_flops_per_clean_token,gpu,head_dim,learning_rate,n_head,n_layer,n_params,objective,realized_flops,result_path,seed,sequence_length,size,stable_fraction,status,steps,tokens_per_parameter,tokens_per_second,train_ar_ce,train_dataset_tokens,training_duration_seconds,training_tokens_per_second,val_ar_ce,wandb_run_id,wandb_url,warmup_fraction,weight_decay
0.005334657726170994,flash,128,100000000000000.0,54853632,True,triangular_flash_causal_v2,88,32,0.15,cuda:0,19.076120663434267,0.009496738849091023,0.13010538928210735,1822272,NVIDIA H100 80GB HBM3,16,0.0081,2,2,287424,autoregressive,99958237691904,results_ar/runs/1e14/0.29M/lr_8.1e-03/result.json,1337,256,0.29M,0.7999999999999999,complete,1674,190.84569138276552,2875512.949818211,4.973675727844238,5776049323,18.9459217377007,2895273.8620705977,5.008357867598534,ks7keddd,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/ks7keddd,0.05,0.1
0.004169478785674421,flash,128,100000000000000.0,40894464,True,triangular_flash_causal_v2,88,32,0.15,cuda:1,24.4547906704247,0.0070800060236950995,0.20421690680086613,2445312,NVIDIA H100 80GB HBM3,16,0.0027,2,7,350464,autoregressive,99999723552768,results_ar/runs/1e14/0.35M/lr_2.7e-03/result.json,1337,256,0.35M,0.7999999999999999,complete,1248,116.68663257852447,1672247.5588170632,5.0290422439575195,5776049323,24.25050234235823,1686334.7168099624,5.008411020040512,i646kkpr,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/i646kkpr,0.05,0.1
0.006094433024339129,flash,128,100000000000000.0,30113792,True,triangular_flash_causal_v2,128,48,0.15,cuda:3,16.755862426012754,0.005213562128025478,0.17254335433244705,3319200,NVIDIA H100 80GB HBM3,16,0.0027,3,4,504288,autoregressive,99953698406400,results_ar/runs/1e14/0.5M/lr_2.7e-03/result.json,1337,256,0.5M,0.7999999999999999,complete,919,59.71546417919919,1797209.3130371873,4.975599765777588,5776049323,16.58323548734188,1815917.7696647982,4.89172837138176,yrvbzzvy,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/yrvbzzvy,0.05,0.1
0.011587130192038683,flash,128,100000000000000.0,30113792,True,triangular_flash_causal_v2,128,48,0.15,cuda:0,8.902729073539376,0.005213562128025478,0.18041655234992504,3319200,NVIDIA H100 80GB HBM3,16,0.0081,3,4,504288,autoregressive,99953698406400,results_ar/runs/1e14/0.5M/lr_8.1e-03/result.json,1337,256,0.5M,0.7999999999999999,complete,919,59.71546417919919,3382534.922859102,4.930953025817871,5776049323,8.722213035449386,3452540.2988449796,4.883578568696976,hx07aa26,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/hx07aa26,0.05,0.1
0.006796799239914906,flash,128,100000000000000.0,21069824,True,triangular_flash_causal_v2,176,64,0.15,cuda:3,15.142893929034472,0.003647791565092908,0.2695952355861664,4745088,NVIDIA H100 80GB HBM3,16,0.0027,4,4,725632,autoregressive,99978169024512,results_ar/runs/1e14/0.73M/lr_2.7e-03/result.json,1337,256,0.73M,0.7999999999999999,complete,643,29.03651437643323,1391400.0916034572,4.9320878982543945,5776049323,14.873200932517648,1416630.0916391523,4.945633515715599,r7t263l5,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/r7t263l5,0.05,0.1
0.0060069586151715775,flash,128,100000000000000.0,12419072,True,triangular_flash_causal_v2,216,80,0.15,cuda:3,17.036620285362005,0.002150097983157406,0.21128495037555695,8048640,NVIDIA H100 80GB HBM3,16,0.0027,5,7,1198720,autoregressive,99956639662080,results_ar/runs/1e14/1.20M/lr_2.7e-03/result.json,1337,256,1.20M,0.7999999999999999,complete,379,10.360277629471437,728963.3619803431,5.370404243469238,5776049323,16.825218625366688,738122.4741577074,5.315135285258293,xb9ig100,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/xb9ig100,0.05,0.1
0.0071328648485154585,flash,128,100000000000000.0,15892480,True,triangular_flash_causal_v2,216,80,0.15,cuda:3,14.317480662837625,0.0027514446486315088,0.15901950560510159,6284640,NVIDIA H100 80GB HBM3,16,0.0027,5,4,965920,autoregressive,99878515507200,results_ar/runs/1e14/1M/lr_2.7e-03/result.json,1337,256,1M,0.7999999999999999,complete,485,16.45320523438794,1110005.340621862,5.035506248474121,5776049323,14.158322222530842,1122483.2822853478,5.065999701619148,964ptlsb,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/964ptlsb,0.05,0.1
0.018846411052973865,flash,128,1000000000000000.0,124223488,True,triangular_flash_causal_v2,216,80,0.15,cuda:2,53.85234531760216,0.021506652913323814,0.21074342913925648,8048640,NVIDIA H100 80GB HBM3,16,0.0027,5,7,1198720,autoregressive,999830134456320,results_ar/runs/1e15/1.20M/lr_2.7e-03/result.json,1337,256,1.20M,0.7999999999999999,complete,3791,103.63011211959423,2306742.394734596,4.268521785736084,5776049323,53.64154417067766,2315807.4570848183,4.2200732082128525,jhhss8w0,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/jhhss8w0,0.05,0.1
0.022409687237725774,flash,128,1000000000000000.0,96141312,True,triangular_flash_causal_v2,256,96,0.15,cuda:3,45.32857339270413,0.01664482185378319,0.21340574324131012,10400256,NVIDIA H100 80GB HBM3,16,0.0027,6,7,1562112,autoregressive,999894256975872,results_ar/runs/1e15/1.56M/lr_2.7e-03/result.json,1337,256,1.56M,0.7999999999999999,complete,2934,61.54572271386431,2120986.9361446626,4.15682315826416,5776049323,45.11510651372373,2131022.6092618094,4.214812882244587,ivdxge3f,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/ivdxge3f,0.05,0.1
0.029810780562223783,flash,128,1000000000000000.0,96141312,True,triangular_flash_causal_v2,256,96,0.15,cuda:2,34.12440884672105,0.01664482185378319,0.2098823506385088,10400256,NVIDIA H100 80GB HBM3,16,0.0081,6,7,1562112,autoregressive,999894256975872,results_ar/runs/1e15/1.56M/lr_8.1e-03/result.json,1337,256,1.56M,0.7999999999999999,complete,2934,61.54572271386431,2817376.63007862,4.12278938293457,5776049323,33.91442315839231,2834820.7944149952,4.1760359182953835,s6rvwen8,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/s6rvwen8,0.05,0.1
