attention_backend,batch_size,block_len,budget,clean_tokens,compiled,compute_accounting,d_ff,d_model,decay_fraction,device,duration_seconds,effective_compute_parameters,effective_train_epochs,evaluation_duration_seconds,gpu,head_dim,learning_rate,local_batch_size,n_head,n_layer,n_params,realized_flops,result_path,seed,sequence_length,size,stable_fraction,status,steps,tokens_per_second,train_dataset_tokens,train_loss,training_duration_seconds,training_flops_per_clean_token,training_tokens_per_second,val_masked_ce_t0.5,val_nelbo,wandb_run_id,wandb_url,warmup_fraction,weight_decay,world_size
cudnn,128,4,1e+17,662208512,True,dense_dual_stream_attention_v1,600,224,0.15,cuda:2,1166.5636261366308,12583536.0,0.20631733175339534,17.621662214398384,NVIDIA H100 80GB HBM3,16,0.0009,128,14,14,10296384,99995095803101184,results_scaleup/runs/1e17/10.3M/lr_9.0e-04/result.json,1337,256,10.3M,0.7999999999999999,complete,20209,567657.4317622693,3209660121,3.937939167022705,1148.9419291447848,151002432,576363.7788838597,3.8424186557531357,3.8818791806697845,vjqjjfux,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/vjqjjfux,0.05,0.1,1
cudnn,128,4,1e+17,985694208,True,dense_dual_stream_attention_v1,512,192,0.15,cuda:0,1276.832618875429,8454240.0,0.30710236312899625,14.765969665721059,NVIDIA H100 80GB HBM3,16,0.0009,128,12,12,6886272,99999544812503040,results_scaleup/runs/1e17/6.9M/lr_9.0e-04/result.json,1337,256,6.9M,0.7999999999999999,complete,30081,771983.8868685472,3209660121,4.084199905395508,1262.0665961299092,101450880,781016.0026599253,3.852451652288437,3.8926426991820335,a9zgyi25,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/a9zgyi25,0.05,0.1,1
cudnn,128,4,1e+17,800227328,True,dense_dual_stream_attention_v1,560,208,0.15,cuda:1,1247.2456370647997,10413416.0,0.24931840065068372,16.3389302957803,NVIDIA H100 80GB HBM3,16,0.0009,128,13,13,8502208,99997200732389376,results_scaleup/runs/1e17/8.5M/lr_9.0e-04/result.json,1337,256,8.5M,0.7999999999999999,complete,24421,641595.6121387697,3209660121,3.9516451358795166,1230.9066738374531,124960992,650112.1043606217,3.84649845212698,3.8817819952964783,p763c2fs,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/p763c2fs,0.05,0.1,1
cudnn,128,4,1e+18,5541658624,True,dense_dual_stream_attention_v1,640,240,0.15,cuda:2,10510.22410466522,15037560.0,0.9594202393551825,18.44226879067719,NVIDIA H100 80GB HBM3,16,0.0009,128,15,15,12341760,999996288695009280,results_scaleup/runs/1e18/12.3M/lr_9.0e-04/result.json,1337,256,12.3M,0.7999999999999999,complete,169118,527263.6024516546,5776049323,3.5469422340393066,10491.781795091927,180450720,528190.4191519115,3.458428204059601,3.5107709243893623,sb1vmfv9,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/sb1vmfv9,0.05,0.1,1
cudnn,128,4,1e+18,4398874624,True,dense_dual_stream_attention_v1,688,256,0.15,cuda:0,9819.315111376345,18944128.0,0.7615715133324529,20.377780335024,NVIDIA H100 80GB HBM3,16,0.0009,128,16,17,15545344,999994127196094464,results_scaleup/runs/1e18/15.5M/lr_9.0e-04/result.json,1337,256,15.5M,0.7999999999999999,complete,134243,447981.81686863315,5776049323,3.7351205348968506,9798.937287900597,227329536,448913.4377287611,3.432881087064743,3.4862578734755516,zshm561u,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/zshm561u,0.05,0.1,1
cudnn,128,4,1e+18,3574071296,True,dense_dual_stream_attention_v1,728,272,0.15,cuda:1,9864.575173432007,23315976.0,0.6187743726093524,22.66631462983787,NVIDIA H100 80GB HBM3,16,0.0009,128,17,19,19148800,999995526717898752,results_scaleup/runs/1e18/19.1M/lr_9.0e-04/result.json,1337,256,19.1M,0.7999999999999999,complete,109072,362313.75737557857,5776049323,3.7424395084381104,9841.908792022616,279791712,363148.1830940125,3.410270258784294,3.4650435894727707,janpf2bm,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/janpf2bm,0.05,0.1,1
cudnn,128,4,1e+18,3088154624,True,dense_dual_stream_attention_v1,768,288,0.15,cuda:0,8814.338459990919,26984592.0,0.9621438119865029,24.846042787656188,NVIDIA H100 80GB HBM3,16,0.0009,128,18,20,22277952,999991110738640896,results_scaleup/runs/1e18/22.3M/lr_9.0e-04/result.json,1337,256,22.3M,0.7999999999999999,complete,94243,350355.80242549273,3209660121,3.5370683670043945,8789.492354914546,323815104,351346.1869357328,3.40143670886755,3.453982949256897,zvx1g3dt,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/zvx1g3dt,0.05,0.1,1
cudnn,128,4,1e+18,2818637824,True,dense_dual_stream_attention_v1,768,288,0.15,cuda:3,8769.518807085231,29565072.0,0.4879871459504848,3.3388654608279467,NVIDIA H100 80GB HBM3,16,0.0009,128,18,22,24269760,999998762501799936,results_scaleup/runs/1e18/24.3M/lr_9.0e-04/result.json,1337,256,24.3M,0.7999999999999999,complete,86018,321413.054239956,5776049323,3.5138866901397705,8766.179881645367,354780864,321535.47634833114,3.4007972702383995,3.449193775653839,xtenhe49,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/xtenhe49,0.05,0.1,1
cudnn,128,4,1e+18,2449244160,True,dense_dual_stream_attention_v1,816,304,0.15,cuda:1,8806.298522068188,34023832.0,0.7630852076751712,28.576211182400584,NVIDIA H100 80GB HBM3,16,0.0009,128,19,23,28123648,999992061921853440,results_scaleup/runs/1e18/28.1M/lr_9.0e-04/result.json,1337,256,28.1M,0.7999999999999999,complete,74745,278124.13511332875,3209660121,3.4033730030059814,8777.722264068201,408285984,279029.5803759974,3.398196779191494,3.4593059942126274,9tcwa0ww,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/9tcwa0ww,0.05,0.1,1
cudnn,128,4,1e+18,1977155584,True,dense_dual_stream_attention_v1,896,336,0.15,cuda:2,8022.341929618269,42148008.0,0.6160015420523711,29.22568696178496,NVIDIA H100 80GB HBM3,16,0.0009,128,21,24,35283360,999998032460120064,results_scaleup/runs/1e18/35.3M/lr_9.0e-04/result.json,1337,256,35.3M,0.7999999999999999,complete,60338,246456.15972817055,3209660121,3.3279366493225098,7993.116189349443,505776096,247357.29309608848,3.3838227167725563,3.4575891941785812,91ptb0qb,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/91ptb0qb,0.05,0.1,1
